,n,lat,lon,z
0,0,53.5799906986,103.4574251838,470.0
1,1,53.57864848060804,103.46546069899621,465.149
2,2,53.57865549163588,103.46541948154814,465.264
3,3,53.578637577607466,103.46538984424024,465.33
4,4,53.578586292756384,103.46537050374536,465.485
5,5,53.57858552208939,103.46533973408998,465.524
6,6,53.57862000790876,103.4653162265564,465.37
7,7,53.57869544543942,103.46531882340662,465.228
8,8,53.57872850921775,103.46519476341723,465.399
9,9,53.57874358064064,103.46513835741499,465.52
10,10,53.578765429588486,103.46503659712182,465.361
11,11,53.57875133323642,103.46502014033851,465.639
12,12,53.57876591918657,103.46496695020306,465.524
13,13,53.578788624748775,103.46495781593343,465.327
14,14,53.578811964755,103.46486073600978,465.294
15,15,53.57881192881235,103.46486078130368,465.293
16,16,53.57883731584075,103.46478761655872,465.05
17,17,53.578864362692364,103.46475290633407,464.78
18,18,53.578873961529766,103.46470534774004,464.772
19,19,53.57887092693517,103.46466710459124,464.976
20,20,53.57891469556348,103.46461898737245,464.978
21,21,53.57894069464089,103.46452528939317,465.674
22,22,53.57897433986081,103.46443128945455,466.193
23,23,53.57897973369378,103.46438229655367,466.36
24,24,53.57900594891505,103.46427655039716,466.653
25,25,53.579027022703436,103.46420519740805,466.722
26,26,53.57905349866761,103.46409342716291,466.768
27,27,53.579076307195,103.46400842561215,466.578
28,28,53.579104669283204,103.46390649924103,466.353
29,29,53.579139760518295,103.46381391851111,466.211
30,30,53.57917412527801,103.46369509751554,465.796
31,31,53.57920320420578,103.46362585824161,465.532
32,32,53.57919023230927,103.46357974905222,465.659
33,33,53.579126398136374,103.46350259844388,465.973
34,34,53.57914365334086,103.46342158275613,465.486
35,35,53.579206571688296,103.46348713812628,465.517
36,36,53.57926135041323,103.46353735396255,465.152
37,37,53.57928416627529,103.46347720366438,464.676
38,38,53.57926052877262,103.46343917188699,465.011
39,39,53.579281689093115,103.46342427019414,464.744
40,40,53.579322107332416,103.46334586645456,464.26
41,41,53.57938188783975,103.46327280739507,462.832
42,42,53.57941380009718,103.46313454021862,465.235
43,43,53.579430032606076,103.46301428491604,465.806
44,44,53.57943835717868,103.4629170389143,466.249
45,45,53.57944561176234,103.46283529852404,466.819
46,46,53.57945135763306,103.46273521410455,467.231
47,47,53.57945684291548,103.46263377086807,467.297
48,48,53.579475789685496,103.46248267041994,467.347
49,49,53.57950005589656,103.46231843474095,467.512
50,50,53.579518103127015,103.4621835948026,467.679
51,51,53.57953082919696,103.4620980346267,467.46
52,52,53.579513857563626,103.46207368160682,467.664
53,53,53.57953875593951,103.46204624860177,467.722
54,54,53.57955292985779,103.4619244382084,467.42
55,55,53.579561847722665,103.4617952449094,467.636
56,56,53.57958800617528,103.46170545730284,467.312
57,57,53.57962030299694,103.46156651071746,467.116
58,58,53.57963031560203,103.46146814746592,467.438
59,59,53.57966433702023,103.46133652339422,467.033
60,60,53.579689813303446,103.46121429025764,466.985
61,61,53.57971068009188,103.46109491063672,467.033
62,62,53.57973601202215,103.46098434822818,466.882
63,63,53.5797252662663,103.46097589336695,467.067
64,64,53.57970343235681,103.4609915952521,466.781
65,65,53.57969797172523,103.46091627149731,467.091
66,66,53.57975614952268,103.46090909996323,466.926
67,67,53.57978650450722,103.46077590570292,466.607
68,68,53.57975024202813,103.46074714407676,466.842
69,69,53.57976882384035,103.460713702081,467.245
70,70,53.57978988460878,103.46071252443961,467.081
71,71,53.579804774743934,103.46063653637428,467.065
72,72,53.57982523521753,103.46057143394277,466.684
73,73,53.57981501196695,103.46050886796965,466.731
74,74,53.57983367596274,103.4604205750616,466.987
75,75,53.57978698046381,103.46044779669519,467.463
76,76,53.57979607457722,103.46039434989382,467.551
77,77,53.579825914258656,103.46036829080364,467.244
78,78,53.57984736383042,103.46026556423962,467.234
79,79,53.57984972858444,103.46019256557162,466.923
80,80,53.57980479449631,103.46020659158249,467.42
81,81,53.57975079469162,103.46021608820342,468.195
82,82,53.57979279190489,103.46014968734677,467.733
83,83,53.57988199555719,103.46010481619034,466.554
84,84,53.57988132280163,103.46005450976597,466.751
85,85,53.57984484473675,103.46001533054292,467.608
86,86,53.57984268167357,103.45990627793088,467.628
87,87,53.57989695206008,103.45984499528485,466.874
88,88,53.579839215627146,103.45980051667554,467.375
89,89,53.579893081197234,103.45976183568537,467.048
90,90,53.579924231856424,103.4597711058368,466.56
91,91,53.579946220039886,103.45966691476997,466.881
92,92,53.57990188097408,103.45957486246819,467.043
93,93,53.57990839561301,103.45954424379211,467.006
94,94,53.57995406558006,103.45957570795431,466.606
95,95,53.57997862335833,103.45946754612227,466.593
96,96,53.57998617241656,103.45936566504427,466.844
97,97,53.58000925503525,103.45934904218315,466.805
98,98,53.580012769724604,103.45924867090181,466.991
99,99,53.58001360647949,103.45917130892141,466.947
100,100,53.580041129288794,103.45903651427642,466.641
101,101,53.580050735717975,103.45892003346478,466.922
102,102,53.58006733199179,103.45883251055291,466.979
103,103,53.58008291310074,103.45872680968935,466.878
104,104,53.580044349954015,103.45870070530525,467.212
105,105,53.580007323446345,103.45865358455175,467.392
106,106,53.580004816894714,103.4586288993765,467.425
107,107,53.58003957121841,103.45857640374693,467.351
108,108,53.58005360569176,103.45857918177278,467.307
109,109,53.58007205149365,103.45861100828618,467.081
110,110,53.580104918235435,103.45863342876646,466.877
111,111,53.58010087570632,103.45856192479705,467.123
112,112,53.580108388031846,103.45846253488348,467.247
113,113,53.580105226067275,103.45837339648918,467.394
114,114,53.58011361860293,103.45829610999857,467.337
115,115,53.58013570437255,103.45818615150844,467.303
116,116,53.58013086194937,103.45810868384224,467.34
117,117,53.58014021595656,103.45797935466105,467.41
118,118,53.58014538267092,103.4578939303665,467.53
119,119,53.58010727748169,103.4578925262556,467.606
120,120,53.58010233589457,103.4578556872173,467.64
121,121,53.580125409350636,103.4578295375393,467.555
122,122,53.58016790824077,103.45781369977242,467.324
123,123,53.58015727919446,103.45776241198016,467.522
124,124,53.58018568974631,103.45771512514902,467.416
125,125,53.58019392908455,103.45765298191883,467.645
126,126,53.580211908125406,103.45755550944699,467.941
127,127,53.580221243538766,103.45750385930353,467.944
128,128,53.58018353369694,103.45747755864585,468.093
129,129,53.58018700190077,103.45743354807345,468.123
130,130,53.5802325466369,103.45744148960384,467.917
131,131,53.58024578145314,103.4573501469064,468.074
132,132,53.5802719994495,103.45725176855656,467.988
133,133,53.58027914231139,103.45715594176308,468.047
134,134,53.580285880895154,103.45710241947177,468.011
135,135,53.58026368798311,103.45707626979376,468.421
136,136,53.58023536733637,103.45705344166838,468.815
137,137,53.580240533546664,103.45701116736213,468.849
138,138,53.5802747032932,103.4570005836876,468.615
139,139,53.58030634830345,103.45700034212014,468.256
140,140,53.58033058939786,103.4569196434891,468.401
141,141,53.58035227865811,103.4568283309876,468.475
142,142,53.580346051892356,103.45679099371641,468.612
143,143,53.58036627678156,103.45674651510704,468.578
144,144,53.58038225144537,103.45665009949286,468.829
145,145,53.58039470409546,103.4565768139634,468.858
