,n,lat,lon,z
0,0,53.5799906986,103.4574251838,470.0
1,212,53.57765809283395,103.46729883109677,465.593
2,213,53.5777127166858,103.46724674311328,465.323
3,214,53.57769645898933,103.4671846753741,465.499
4,215,53.57773868602757,103.467212440534,465.251
5,216,53.577727183238714,103.46723736727624,464.091
6,217,53.577702712382724,103.46718636634631,465.138
7,218,53.5778612206827,103.46701785794511,465.374
8,219,53.5779565290956,103.46684234408745,465.282
9,220,53.57801133295078,103.46678379417432,465.11
10,221,53.578036485727644,103.46673407657143,465.091
11,222,53.57801438367637,103.46672190761062,465.216
12,223,53.577989416849995,103.46669131913097,465.33
13,224,53.577967547610946,103.4666893865913,465.387
14,225,53.57796792691135,103.46666439945713,465.409
15,226,53.57794435122871,103.46665340813769,465.408
16,227,53.57795083150113,103.46662591474112,465.452
17,228,53.57791394389175,103.46656550777807,465.664
18,229,53.57793542133214,103.46652102916944,465.621
19,230,53.57798023751803,103.46653137127635,465.449
20,231,53.57799655828684,103.46647754702657,465.5
21,232,53.57803713445687,103.46647624860148,465.472
22,233,53.57804419174551,103.46654064142763,465.312
23,234,53.57806104386553,103.46658857747053,465.171
24,235,53.578083002566736,103.46659558292689,465.093
25,236,53.578114321941676,103.46662410298516,464.946
26,237,53.57805908562367,103.46669897379986,463.361
27,238,53.57802186520951,103.46664374543927,463.335
28,239,53.577976414206546,103.46659297097872,464.181
29,240,53.57802172784935,103.46656031407768,463.752
30,241,53.57802272137658,103.46649219205386,464.845
31,242,53.578200996308816,103.46655279529048,464.947
32,243,53.578278546727425,103.4664176835903,465.219
33,244,53.57837435922296,103.46621754494925,465.983
34,245,53.57849256452132,103.4659807786418,465.427
35,246,53.578516515422564,103.46589660747968,465.325
36,247,53.578572361194325,103.46583621561444,465.007
37,248,53.57860445060148,103.46564762691725,465.273
38,249,53.578653919665655,103.4654135329494,465.299
39,250,53.57861032864628,103.46535348833731,465.36
40,251,53.578696038673655,103.46531538107028,465.175
41,252,53.57867917846933,103.4653821895713,464.198
42,253,53.578744615549994,103.46511288714576,465.6
43,254,53.57882385423689,103.46482228148948,465.176
44,255,53.57892239636819,103.46460739213427,465.093
45,256,53.57900035655848,103.46434109420343,466.466
46,257,53.579043044951355,103.4641685697416,466.702
47,258,53.57911490411099,103.46388871383662,466.178
48,259,53.57920378806986,103.46362890803083,465.544
49,260,53.57919595539946,103.46358610529607,465.523
50,261,53.579118069619454,103.46349199967146,465.939
51,262,53.57914821735965,103.46342834664507,465.47
52,263,53.57926857397325,103.46354410275353,464.935
53,264,53.5792395857662,103.46359739857495,463.359
54,265,53.57920811414166,103.46354526529694,463.935
55,266,53.57918255396097,103.46350563313513,464.527
56,267,53.579152294839716,103.46346193962034,464.957
57,268,53.57932439839168,103.46334798016986,464.146
58,269,53.579341061058194,103.46325518806827,463.791
59,270,53.57943721508892,103.46313043357175,465.336
60,271,53.579451564972764,103.46291903184586,466.132
61,272,53.579457174399195,103.46265576860517,467.165
62,273,53.57950000885886,103.46236982821874,467.19
63,274,53.57952038533347,103.46218290029614,467.641
64,275,53.57955709822035,103.46194187635966,466.969
65,276,53.5795702322483,103.46175227609685,467.544
66,277,53.57962981345447,103.46143814780655,467.518
67,278,53.57972128298842,103.46107369799381,466.841
68,279,53.579739767908215,103.46097847511922,466.78
69,280,53.57971243694745,103.46093529493508,466.958
70,281,53.57975663437033,103.46092075559336,466.643
71,282,53.579750460609986,103.46095806266854,465.711
72,283,53.579728546703436,103.4609444744987,466.209
73,284,53.57978644184945,103.46076743574372,466.555
74,285,53.57975651376586,103.46073853823586,466.855
75,286,53.579792912235916,103.46072353085718,466.69
76,287,53.57979152773246,103.46075315306743,465.633
77,288,53.579825711461446,103.46056986375427,466.692
78,289,53.57982911812201,103.46051759459428,466.025
79,290,53.57983549093699,103.46042004663278,466.862
80,291,53.57979885040587,103.46041533606724,467.233
81,292,53.579831754771845,103.46035639360605,467.19
82,293,53.57984982310686,103.46037310705496,465.546
83,294,53.5798510494005,103.46019137283227,466.908
84,295,53.579775773018284,103.46020965646969,467.757
85,296,53.57981914599261,103.46009589329215,467.718
86,297,53.57988111519431,103.46009753897049,466.589
87,298,53.579883486024784,103.46015063851866,465.177
88,299,53.57984150791333,103.4601681068659,466.092
89,300,53.579790993815756,103.4601974875087,466.866
90,301,53.579885536992755,103.46004324668297,466.524
91,302,53.57989592576567,103.45994239226675,465.989
92,303,53.5799094411732,103.4598437572516,466.542
93,304,53.57988229817831,103.45981611287495,466.876
94,305,53.5798413899906,103.45980030530401,467.307
95,306,53.57990517503744,103.45975721570761,467.01
96,307,53.5799216978303,103.45978476949648,466.363
97,308,53.5799235929488,103.45982035540352,465.337
98,309,53.579883709095185,103.45980211706,466.352
99,310,53.579846017270874,103.45979888609516,466.783
100,311,53.57994529466973,103.45966262694748,466.958
101,312,53.57991009346404,103.459561425278,466.951
102,313,53.579955197547974,103.4595832871335,466.528
103,314,53.579956553781855,103.45961052386507,465.433
104,315,53.57992144129285,103.45957092189893,466.498
105,316,53.5800193277542,103.4593123692225,466.835
106,317,53.58004582764746,103.4590929202793,466.515
107,318,53.580065704656235,103.45891980699528,466.438
108,319,53.580084359565575,103.45873715179641,466.851
109,320,53.58001408017375,103.45864958359063,467.256
110,321,53.58002291275344,103.45861301631574,467.368
111,322,53.58004117912203,103.4586175909996,467.21
112,323,53.580034180054355,103.4585960763973,467.336
113,324,53.580105906587825,103.45863270406407,466.89
114,325,53.58002240937278,103.45863528581634,465.576
115,326,53.580058025604814,103.45864813418585,465.163
116,327,53.580077918134776,103.45866377567916,464.411
117,328,53.58010570834085,103.45868867222593,463.912
118,329,53.58012806620026,103.45832456966546,467.249
119,330,53.580153675650756,103.45792690432536,467.302
120,331,53.580132372366414,103.457916245161,467.524
121,332,53.58014764687909,103.45789406624819,467.454
